name,category,question,answer
Globex Localization,Entity,quem era o homem mais velho que já viveu,Jeanne Calment
Globex Localization,Numeric,quantas vezes a austrália ganhou a copa do mundo de críquete,5.0
Globex Localization,Entity,quem cantou eu sempre vou te amar primeiro Dolly Parton ou Whitney Houston,Porter Wagoner
Globex Localization,Entity,qual o nome do primeiro presidente dos estados unidos,George Washington
Globex Localization,General,qual o nome da faculdade em clube dos cafajestes,Clube dos Cafajestes
Globex Localization,Entity,atores do filme gone in 60 seconds,Angelina Jolie
Globex Localization,Numeric,quantas temporadas tem the cosby show,8.0 Estações climáticas
Globex Localization,Date,quando foi realizada a primeira copa do mundo de críquete,1975
Globex Localization,Entity,quem é o deus do submundo na mitologia grega,Hades
Globex Localization,Date,Quando lançou Don't Smile at Me?,2017-08-11
Globex Localization,Entity,quem interpreta charlene darling em andy griffith show,Maggie Peterson
Globex Localization,Entity,quem é o capitão do west indies no cricket,Jason Holder
Globex Localization,Entity,qual é o maior lago da nova zelândia,Lago Taupo
Globex Localization,Entity,quem é o autor de a long way gone,Ishmael Beah
Globex Localization,Date,quando os estados unidos deixaram a guerra do vietnã,1973-03-29
Globex Localization,Entity,que interpretou harley quinn em o esquadrão suicida,Margot Robbie
Globex Localization,Numeric,qual a população do estado de maine,1338000.0
Globex Localization,Entity,quem interpretou tj em uma turma genial,Billy Connolly
Globex Localization,Entity,quem fez peter quill em guardiões da galáxia,Chris Pratt
Globex Localization,Date,quando o samsung galaxy s6 edge foi lançado,2015-04-10
Globex Localization,Entity,100 Coisas Pra Fazer Antes do High School elenco,Jack DeSena
Globex Localization,Entity,quem canta someone that i used to know,Gotye
Globex Localization,Numeric,quantos litros tem em um barril de uísque,53.0 Galão imperial
Globex Localization,Entity,com quem a américa lutou na guerra revolucionária,Grã-Bretanha
Globex Localization,Date,quando bennie and the jets foi lançada,2000
Globex Localization,Date,quando foi a última vez que o estados unidos esteve sem dívidas,1835-01-08
Globex Localization,Entity,quem cantou a música você é meu tudo,Santa Esmeralda
Globex Localization,Entity,quem canta a música i love the nightlife,Alicia Bridges
Globex Localization,Entity,equipes que nunca ganharam a world series,Seattle Mariners
Globex Localization,Entity,quem era conhecida como a donzela de orleans,Joana d'Arc
Globex Localization,Entity,quem correu a primeira sub four minute mile,Roger Bannister
Globex Localization,Entity,Quem canta I've got spurs that jingle jangle jingle,Gene Autry
Globex Localization,Entity,qual foi a primeira batalha da guerra do vietnã,Batalha de Ia Drang
Globex Localization,Entity,quem se apresentou no super bowl desse ano,St. Louis Rams
Globex Localization,Entity,quem é o atual cirurgião geral dos estados unidos,Jerome Adams
Globex Localization,Entity,quem interpretou rachel em blade runner original,Sean Young
Globex Localization,Entity,onde fica a ponte mais longa nos estados unidos,Lago Pontchartrain
Globex Localization,Entity,quem teve a ideia do dia dos pais,Sonora Luise
Globex Localization,Entity,de onde o sobrenome Guzman se origina,Espanha
Globex Localization,Entity,quem canta a música please don't go,KC and the Sunshine Band
Globex Localization,Entity,quem detém o recorde de maior corredor em jardas em um jogo,Adrian Peterson
Globex Localization,Entity,quem é a pessoa mais rica que já viveu,Mansa Musa
Globex Localization,Entity,quem é o youtuber com o maior número de inscritos no mundo,T-Series
Globex Localization,Entity,onde a times square está localizada em nova iorque,Estados Unidos
Globex Localization,Yes/No,full house vence um straight no poker?,yes
Globex Localization,Entity,em que rádio estão os pittsburgh pirates,KDKA-FM
Globex Localization,Entity,quem é o treinador do toronto raptors,Nick Nurse
Globex Localization,Entity,quem escreveu a música you were always on my mind,Johnny Christopher
Globex Localization,Entity,quem é o ator que faz o john wick,Keanu Reeves
Globex Localization,Entity,quem canta take a look at me now,Phil Collins
Globex Localization,Entity,quem canta back in the high life again,Steve Winwood
Globex Localization,Entity,Quem canta going to the chapel and we're gonna get married?,The Dixie Cups
Globex Localization,Entity,de que a bandeira americana é feita,náilon
Globex Localization,Entity,de onde vem a estátua da liberdade,Ilha da Liberdade
Globex Localization,Entity,quem canta come together right now over me,The Beatles
Globex Localization,Entity,quem é o ator principal na série Arrow,Katie Cassidy
Globex Localization,Entity,quem tem o melhor retrospecto na major league,New York Yankees
Globex Localization,Entity,quem cantou now that we found love what are we gonna do with it,Heavy D
Globex Localization,Entity,quem interpretou Bela em A Bela e a Fera,Emma Watson
Globex Localization,Date,quando foi escrito while my guitar gently weeps,1968
Globex Localization,Entity,Quem cantou a música Fox on the Run?,Sweet
Globex Localization,Numeric,quanto é 10 á potência de 10,10000000000.0
Globex Localization,Numeric,qual foi a magnitude do sismo de northridge,6.7
Globex Localization,Entity,quem canta bartender i really did it this time,Rehab
Globex Localization,Numeric,qual é a população atual de phoenix arizona,1626000.0
Globex Localization,Entity,quem tem mais Grammys de todos os tempos,Georg Solti
Globex Localization,Numeric,qual a população atual de albuquerque new mexico,558545.0
Globex Localization,Entity,quem cantou a música i can see clearly now,Ray Charles
Globex Localization,Entity,quem foi o primeiro presidente da áfrica do sul,Nelson Mandela
Globex Localization,Date,quando foi construido a estátua da liberdade?,1875-09
Globex Localization,Entity,quem escreveu a música here comes the sun,George Harrison
Globex Localization,Entity,qual foi o primeiro filme colorido,Com Nosso Rei e Rainha Através da Índia
Globex Localization,Numeric,quantos episódios tem a segunda temporada de my hero academia,25.0 Episódios
Globex Localization,Date,quando sai a programação da premier league,2019-06-13
Globex Localization,Entity,quem canta a música sugar pie honey bunch,The Four Tops
Globex Localization,Entity,onde é jogado o Hall of Fame Game,Estados Unidos
Globex Localization,Numeric,qual é o prêmio por ganhar So You Think You Can Dance,250000.0 dólar americano
Globex Localization,Entity,quem canta a música fly me to the moon,Frank Sinatra
Globex Localization,Date,quando será lançado Power Rangers Força Mística,2006-02-20
Globex Localization,Numeric,quantos jogos da NBA cada time joga,82.0
Globex Localization,Entity,quem é a garota que interpreta cinquenta tons de cinza,Dakota Johnson
Globex Localization,Entity,quem interpreta o gato em o gato de chapéu,Mike Myers
Globex Localization,Entity,quem faz a voz de vinnie em uma família da pesada,Tony Sirico
Globex Localization,Entity,quem cantava what doesn't kill you makes you stronger,Kelly Clarkson
Globex Localization,Entity,quem venceu as séries mundiais nos últimos cinco anos,Houston Astros
Globex Localization,Date,quando saiu o call of duty world at war,2008-11-11
Globex Localization,Entity,quem tem o maior número de hits country,George Strait
Globex Localization,Entity,quem cantou a música what condition my condition was in,Bettye LaVette
Globex Localization,Entity,quem interpreta a mãe em That '70s Show,Debra Jo Rupp
Globex Localization,Numeric,qual é a população de sumter carolina do sul,39982.0
Globex Localization,Date,quando é a parada gay em chicago illinois,2019-06-30
Globex Localization,Entity,quem interpretou gaston no filme a bela e a fera,Luke Evans
Globex Localization,Numeric,quantos dias santos de obrigação existem na Igreja Católica,6.0
Globex Localization,Entity,quem canta wild thing you make my heart sing,The Troggs
Globex Localization,Yes/No,já houve um furacão chamado kathy?,yes
Globex Localization,Entity,Quem cantava a canção have you ever seen the rain?,Creedence Clearwater Revival
Globex Localization,Date,quando foi escrita a declaração de direitos humanos,1948
Globex Localization,Entity,onde é filmado o programa de tv stranger things,Atlanta
Globex Localization,Entity,quais os times da conferência atlantic sun,Norte
Globex Localization,Entity,quem escreveu a música you broke up with me,Walker Hayes
Globex Localization,Numeric,qual a temperatura mais alta registrada em nova iorque,108.0 Escala Farenheit
Globex Localization,Entity,quem tem maioria no congresso agora,Partido Republicano
Globex Localization,Entity,onde a Batalha de Gettysburg aconteceu,Pensilvânia
Globex Localization,Date,quando o chicago cubs ganhou a série mundial,2016
Globex Localization,Entity,quem foi promovido para a premier league ano passado,Cardiff City Football Club
Globex Localization,Entity,qual palavra no idioma inglês tem mais sílabas,pneumoultramicroscopicossilicovulcanoconiose
Globex Localization,Entity,qual é a capital do estado do novo méxico,Santa Fé
Globex Localization,Entity,que detém o recorde mundial de prender a respiração por mais tempo,Tom Sietas
Globex Localization,Entity,quem é o vilão de guardiões da galáxia,"Ronan, o Acusador"
Globex Localization,Yes/No,a república da irlanda faz parte do reino unido,no
Globex Localization,Date,quando foi produzido o primeiro episódio de only fools and horses,1981-09-08
Globex Localization,Date,quando foi a última vez que nadal ganhou o Torneio de Wimbledon,2010
Globex Localization,Entity,quem interpreta avery em dog with a blog,Genevieve Hannelius
Globex Localization,Entity,quem escreveu o poema brilha brilha estrelinha,Jane Taylor
Globex Localization,Entity,quem canta never met a girl like you before,Edwyn Collins
Globex Localization,Date,quem foi feito five nights at freddy's,2014-08-08
Globex Localization,Date,quando foi lançado o filme Pantera Negra,2018-02-16
Globex Localization,Entity,quem intepretou johnny cash em johnny e june,Joaquin Phoenix
Globex Localization,Entity,quem canta all i need is the air that i breathe,The Hollies
Globex Localization,Entity,quem cantou didn't i blow your mind this time,The Delfonics
Globex Localization,Date,Quando foi lançado A Fantástica Fábrica de Chocolate?,2005-07-10
Globex Localization,Numeric,qual a idade legal para beber na turquia,18.0 ano
Globex Localization,Yes/No,tom cruise cantou em rock of ages,yes
Globex Localization,Entity,onde fica o hall da fama do golfe,Estados Unidos
Globex Localization,Date,Quando a bela e a fera estreiou na Broadway?,1994-04-18
Globex Localization,Entity,onde acontenceu o capitão america soldado invernal,Washington
Globex Localization,Entity,quem é a pessoa mais velha já registrada,Jeanne Calment
Globex Localization,Entity,Quais são os nomes dos filmes Matrix?,Matrix
Globex Localization,Entity,quais são os nomes dos cachorros de toy story,Cachorro Slink - The name dog is translated only.
Globex Localization,Date,qual foi a última erupção vulcânica nos estados unidos,2018
Globex Localization,Entity,quem escreveu eu tenho você debaixo da minha pele,Cole Porter
Globex Localization,Entity,qual foi o maior jogo de beisebol da liga principal da história,Jogo profissional de Beisebol mais longo
Globex Localization,Entity,Quem é o primeira-base dos Yankees?,Edwin Encarnación
Globex Localization,Entity,quem foi a primeira pessoa que andou na lua,Neil Armstrong
Globex Localization,Numeric,quantas equipes de futebol da nfl existem na california,4.0
Globex Localization,Date,quando o homem andou na lua,"julho 20, 1969"
Globex Localization,Numeric,Quantas escolas Ivy League existem nos Estados Unidos?,8.0
Globex Localization,Entity,quem canta a música walk like a man,Frankie Valli
Globex Localization,Entity,quem escreveu take it to the limit dos eagles,Randy Meisner
Globex Localization,Entity,onde foi gravado o programa de televisão the kitchen,Estados Unidos
Globex Localization,Entity,quem é o jogador mais velho da nba ainda jogando,Vince Carter
Globex Localization,Entity,quem interpreta o tio josh em girl meets world,Uriah Shelton
Globex Localization,Numeric,qual é o diâmetro da Terra no equador,7917.5 milha
Globex Localization,Entity,quem interpretou chelsea em two and a half men,Jennifer Bini Taylor
Globex Localization,Numeric,quantas tropas americanas morreram na guerra do vietnã,58220.0
Globex Localization,Entity,que disseram que nem um mutuário nem um credor,Polónio
Globex Localization,Entity,quem cantou primeiro i did it my way,Frank Sinatra
Globex Localization,Entity,Quem cantou a música jim dandy to the rescue,Black Oak Arkansas
Globex Localization,Entity,Onde fica a maior loja do mundo,Coreia do Sul
Globex Localization,Entity,quem é o jogador de baseball da mlb mais bem pago,Mike Trout
Globex Localization,Entity,Quem cantou those were the days my friends,Mary Hopkin
Globex Localization,Date,quando os caçadores da arca perdida foi lançado,1981-06-12
Globex Localization,Entity,qual foi o primeiro restaurante de fast food,McDonald's
Globex Localization,Numeric,qual é a idade mínima para abandonar a escola no reino unido,18.0 ano
Globex Localization,Entity,quem interpreta gandalf no senhor dos anéis,Ian McKellen
Globex Localization,Entity,quem canta these boots were made for walking,Nancy Sinatra
Globex Localization,Entity,quem foi o jogador mais velho a jogar na NFL,George Blanda
Globex Localization,Entity,quem tem o maior jumbotron da nfl,Houston Texans
Globex Localization,Entity,quem intepreta will horton em days of our lives,Dylan Patton
Globex Localization,Entity,quem são os senadores do estado da califórnia,Dianne Feinstein
Globex Localization,Entity,"quem cantou a música pela primeira vez, eu vi seu rosto",Roberta Flack
Globex Localization,Numeric,qual o peso do iphone 7,4.87 Onça Troy
Globex Localization,Entity,Durante que estágio do ciclo celular ocorre a replicação do DNA,Fase S
Globex Localization,Entity,que substituiu Johnny Carson no show desta noite,Jay Leno
Globex Localization,Numeric,quantos vértices uma pirâmide quadrada tem,5.0
Globex Localization,Date,quando foi filmada a primeira temporada de stranger things,2016
Globex Localization,Date,quando foi a última vez que os Yankees ganharam uma série mundial,2009
Globex Localization,Entity,quem estrelou o dia em que a terra parou,Michael Rennie
Globex Localization,Entity,quem cantou wake me up before you go go,Wham!
Globex Localization,Numeric,"Qual é a elevação em Las Vegas, Nevada?",610.0 metros
Globex Localization,Date,quando eles farão uma nova temporada de Riverdale,2019-10-10
Globex Localization,Date,quando as regras para colonização da áfrica foram estabelecidas,1884
Globex Localization,Entity,de qual condado é Cherry Hill New Jersey,Condado de Camden
Globex Localization,Entity,qual é o outro nome da cruz vermelha,Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
Globex Localization,Entity,quem ganhou o national college football championship ano passado,Alabama Crimson Tide futebol
Globex Localization,Entity,quem escreveu fear and loathing in las vegas,Hunter S. Thompson
Globex Localization,Entity,qual base aérea fica próxima de pensacola florida,Base Aeronaval de Pensacola
Globex Localization,Entity,Qual o nome da esposa do Fred Flintstones?,Wilma Flintstone
Globex Localization,Date,quando o filme original do godzilla foi lançado,1954-10-27
Globex Localization,Entity,quem tem mais roubos de bola na história da nba,John Stockton
Globex Localization,Entity,quem interpreta a esposa em Everybody loves Raymond,Patricia Heaton
Globex Localization,Date,quando a história bela e a fera saiu,1740
Globex Localization,Entity,quem são os atores do filme red,Mary-Louise Parker
Globex Localization,Numeric,quantas turbinas eólicas existem nos Estados Unidos,57636.0
Globex Localization,Entity,qual o nome do novo star wars,Star Wars Episódio IX
Globex Localization,Entity,quem escreveu a música arms of an angel,Sarah McLachlan
Globex Localization,Entity,quem canta a música these boots are made for walking,Nancy Sinatra
Globex Localization,Entity,Quem a Millie Bobby Brown interpreta em Stranger Things?,Eleven
Globex Localization,Entity,quem interpreta o rei gelado em a hora de aventura,Tom Kenny
Globex Localization,Date,quando os diamondbacks venceram a world series,2001
Globex Localization,Entity,quem é o treinador do cleveland cavaliers,John Beilein
Globex Localization,Date,quando a música tainted love saiu,1981
Globex Localization,Date,quando o liverpool venceu pela última vez a premier league,1989
Globex Localization,Entity,Qual  o nome do furacão que atingiu Porto Rico?,Furacão Maria (2017)
Globex Localization,Entity,Qual é o menor estado nos Estados Unidos da América?,Rhode Island
Globex Localization,Entity,quem foi a pessoa mais velha a escalar o everest,Yuichiro Miura
Globex Localization,Date,qual foi a última vez que o atlanta braves ganhou a série mundial,1995
Globex Localization,Date,Quando Leicester city venceu a Liga premier?,2016
Globex Localization,Numeric,qual a idade para beber no canadá,18.0
Globex Localization,Entity,que músicas Elton John escreveu para o rei leão,Circle of Life
Globex Localization,Entity,quem é o número um na lista da forbes,Jeff Bezos
Globex Localization,Entity,quem foi rebaixado da premier league na última temporada,Cardiff City Football Club
Globex Localization,Date,quando a escócia se tornou parte da grã-bretanha,1707
Globex Localization,Entity,quem tem mais gols na história da liga dos campeões,Cristiano Ronaldo
Globex Localization,Entity,quem disse and now the rest of the story,Paul Harvey
Globex Localization,Entity,quem canta ain't no sunshine when she's gone,Bill Withers
Globex Localization,Entity,"No ano passado, quem ganhou o jogo MLB all-star?",American League
Globex Localization,Entity,quem cantava a música my boyfriend's back,The Angels
Globex Localization,Entity,"Quem canta ""When you say nothing at all""?",Ronan Keating
Globex Localization,Entity,quem é o ginasta mais condecorado de todos os tempos,Simone Biles
Globex Localization,Entity,onde começa e termina o rio columbia,Lago Columbia
Globex Localization,Entity,qual é a maior feira dos estados unidos,Feire Estadual do Minnesota
Globex Localization,General,quem tem o nariz vermelho tico ou teco,Dale
Globex Localization,Entity,quem estrelou beneath the planet of the apes,Charlton Heston
Globex Localization,Entity,quais são as quatro partes do disney world,Magic Kingdom
Globex Localization,Numeric,quantas onças é uma dose de licor,1.5 Onça Troy
Globex Localization,Entity,quem canta a música country how do you like me now,Toby Keith
Globex Localization,Entity,onde é filmado orange is the new black,Nova Iorque
Globex Localization,Entity,onde o filme razão e sensibilidade foi filmado,Devon
Globex Localization,Entity,quem está no filme cinquenta tons de cinza,Jennifer Ehle
Globex Localization,Date,quando a argentina ganhou sua primeira Copa do Mundo,1978
Globex Localization,Entity,quem é o clube de futebol mais bem sucedido do mundo,Real Madrid Club de Fútbol
Globex Localization,Date,em que dia cai o dia do trabalhador em 2018,2018-09-03
Globex Localization,Entity,quem interpreta pam em that 70's show,Eve Plumb
Globex Localization,Entity,quem canta sitting by the dock of the bay,Otis Redding
Globex Localization,Date,quando que o colorado rockies ganhou a world series,2007
Globex Localization,Entity,quem é o atual ministro da defesa da índia,Rajnath Singh
Globex Localization,Entity,quem canta i can't get no satisfaction,The Rolling Stones
Globex Localization,Entity,quem faz a narração em celebs go dating,Rob Beckett
Globex Localization,Date,quando o Havaí se tornou um estado dos estados unidos,1959-08-21
Globex Localization,Date,quando foi lançado cinquenta tons de cinza?,2015-02-13
Globex Localization,Date,quando foi feito o filme chitty chitty bang bang,1968-12-12
Globex Localization,Entity,quem escreveu a música call me the breeze,J.J. Cale
Globex Localization,Entity,onde acontece o show The Office,Pensilvânia
Globex Localization,Date,quando foi filmado uma equipe muito especial,1992-07-01
Globex Localization,Entity,qual elemento da tabela periódica tem o ponto de fusão mais alto,carbono
Globex Localization,Entity,quem canta we don't need no education,Pink Floyd
Globex Localization,Entity,quem foi a última pessoa executada por esquadrão de fuzilamento,Ronnie Lee Gardner
Globex Localization,Numeric,quantas emendas existem nos EUA,27.0
Globex Localization,Entity,quem canta everything i do i do for you,Bryan Adams
Globex Localization,Numeric,quantos pontos stephen curry tem em sua carreira,16315.0
Globex Localization,Entity,quem canta a música oh what a night,The Four Seasons
Globex Localization,Entity,de onde vêm as Tartarugas-de-orelha-vermelha,Golfo do México
Globex Localization,Date,quando a agência livre começou na nba,1988
Globex Localization,Entity,quem atuou em diário de um banana,Rachael Harris
Globex Localization,Entity,quem canta a música não pare de pensar no amanhã,Fleetwood Mac
Globex Localization,Numeric,qual era o preço da gasolina em 1979,0.86 dólar americano
Globex Localization,Entity,quem foi a segunda pessoa a andar na lua,Buzz Aldrin
Globex Localization,Entity,quem venceu a série mundial mais vezes,New York Yankees
Globex Localization,Numeric,quanto ouro há em fort knox,147300000.0 Onça Troy
Globex Localization,Entity,onde está o fez de that 70 show,Home Island
Globex Localization,Date,quando a Pérsia mudou seu nome para Irã,1935
Globex Localization,Entity,quem canta se for para ser,Bebe Rexha
Globex Localization,Entity,quem interpreta o conde olaf em desventuras em séris,Neil Patrick Harris
Globex Localization,Numeric,Qual a distância entre Atlanta Geórgia e Alavbama,328.1 milha
Globex Localization,Numeric,quantas milhas é de waco texas até dallas texas,95.0 milha
Globex Localization,Entity,quem canta to make you feel my love,Adele
Globex Localization,Entity,Quem canta a música too much time on my hands?,Styx
Globex Localization,Numeric,quantos títulos da NBA Michael Jordan tem,6.0
Globex Localization,Entity,quem canta we all live in a yellow submarine,The Beatles
Globex Localization,Numeric,quão distante é de corpus christi texas para austin texas,216.9 milha
Globex Localization,Date,quando que lynyrd skynyrd lançou sweet home alabama,1973
Globex Localization,Yes/No,eli manning ainda é o quarterback para os giants,no
Globex Localization,Entity,quem inventou a frase let sleeping dogs lie,Geoffrey Chaucer
Globex Localization,Entity,quem escreveu i can't make you love me,Mire Kreid
Globex Localization,Date,quando foi a última vez que o liverpool ganhou um troféu,2019
Globex Localization,Entity,quem estrela em fresh prince of bel air,Tatyana Ali
Globex Localization,Numeric,qual é o recorde de temperatura mais quente na terra,134.1 Escala Farenheit
Globex Localization,Date,quando a guilhotina foi usada pela última vez na frança,1981-09
Globex Localization,Entity,quem interpretou Peter Parker em O Espetacular Homem-Aranha,Andrew Garfield
Globex Localization,Entity,onde é feito o sorvete blue bunny da wells,Plymouth
Globex Localization,Date,quando keeping up with the kardashians foi ao ar,2007-10-14
Globex Localization,Numeric,quantos títulos da nba kobe bryant tem,5.0
Globex Localization,Entity,quem canta i never promised you a rose garden,Lynn Anderson
Globex Localization,Entity,quem cantava a canção abraham martin and john,The Miracles
Globex Localization,Date,quando foi lançado o primeiro jogo The Legend of Zelda,1986-02-21
Globex Localization,Numeric,qual é a distância entre san diego e tijuana mexico,31.9 quilómetros
Globex Localization,Entity,como se chama o chefe da máfia,Dom
Globex Localization,Numeric,quantas onças tem uma alça de vodka,59.2 Onça Troy
Globex Localization,Date,quando lançou Barbie Life in the Dreamhouse,2012-05-11
Globex Localization,Entity,quem canta a música i fought the law and the law won,The Clash
Globex Localization,Date,quando foram construídas as torres gêmeas de nova iorque,2006-04-27
Globex Localization,Entity,que interpretou o Homem de Lata em O Mágico de Oz,Jack Haley
Globex Localization,Entity,quem cantou a música I wear my sunglasses at night,Corey Hart
Globex Localization,Date,quando foi a última vez que os steelers foram ao super bowl,2011-02-06
Globex Localization,Entity,quem estrelou o filme o rei e eu,Rita Moreno
Globex Localization,Date,quando a declaração de independência foi assinada pela primeira vez,1776-08-02
Globex Localization,Entity,em qual cidade é o Curtindo a Vida Adoidado,Chicago
Globex Localization,Entity,onde está localizado o relógio mais preciso do mundo,América do Norte e América Central
Globex Localization,Date,quando saiu o filme original tubarão,1975-06-20
Globex Localization,Entity,quem escreveu a música you can leave your hat on,Randy Newman
Globex Localization,Numeric,quantos jogadores existem na lista da nfl,53.0
Globex Localization,Numeric,qual é a população williston dakota do norte,25586.0
Globex Localization,Entity,quais são os nomes dos arcanjos,Gabriel
Globex Localization,Entity,quais são todos os filmes do mágico de oz,Angélica e o Mágico de Oz
Globex Localization,Entity,quem foi o último presidente dos eua a ser assassinado,John F. Kennedy
Globex Localization,Date,quando eles pararam de fabricar o centavo de trigo,1958
Globex Localization,Date,quando foi construído o mgm grand em las vegas,1993-12-18
Globex Localization,Date,quando os padres ganharam a world series,1984
Globex Localization,Entity,que venceu os playoffs para o super bowl,New England Patriots
Globex Localization,Date,quando o philadelphia phillies ganhou a world series,2008
Globex Localization,Yes/No,o cleveland browns já ganhou algum super bowl,yes
Globex Localization,Entity,Quais são os nomes dos membros do BTS?,Jung Hoseok
Globex Localization,Entity,quem foi o primeiro presidente de verdade dos estados unidos,George Washington
Globex Localization,Date,quando o reino unido se uniu à união européia,1973
Globex Localization,Entity,de qual filme é a música a whole new world from,Aladdin
Globex Localization,Entity,quem é o ator que faz todos os comerciais do allstate,Dennis Haysbert
Globex Localization,Numeric,distância entre charlotte carolina do norte e charleston carolina do sul,209.5 milha
Globex Localization,Numeric,qual é a população de palm bay florida,114194.0
Globex Localization,Entity,onde serão sediadas as olimpíadas de 2024,França
Globex Localization,Date,Qual foi a última vez que alguém andou na lua?,1972-12-11
Globex Localization,Yes/No,é washington dc um dos 50 estados,no
Globex Localization,Entity,quem canta Amy what you wanna do,Pure Prairie League
Globex Localization,Date,quando o blackhawks ganhou a copa stanley,2015
Globex Localization,Entity,quem é o xerife negro em banzé no oeste,Cleavon Little
Globex Localization,Entity,quem é o ser humano mais alto do mundo,Robert Wadlow
Globex Localization,Date,quando o minnesota vikings joga seu primeiro jogo,1961-09-10
Globex Localization,Numeric,quantos minutos tem um round no boxe,3.0 minuto
Globex Localization,Entity,quem canta all i want for christmas is you,Mariah Carey
Globex Localization,Entity,quem cantou i think it's going to rain today,Randy Newman
Globex Localization,Entity,Quem são os jurados do America's Got Talent?,Simon Cowell
Globex Localization,Entity,quem ganhou como novato do ano na nba em 2017,Malcolm Brogdon
Globex Localization,Numeric,quantas páginas existem nos livros de harry potter,3407.0
Globex Localization,Numeric,quantas páginas tem o livro 1 de the land of stories,438.0
Globex Localization,Numeric,quanto vale um piece of eight,50.0 2000.0 dólar americano
Globex Localization,Entity,de quem é o rosto na nota de um dólar,George Washington
Globex Localization,Date,quando comemoramos o dia das crianças na Índia,11-14
Globex Localization,Entity,quem cantou splish splash i was taking a bath,Bobby Darin
Globex Localization,Numeric,quantos presidentes os estados unidos já teve,45.0
Globex Localization,Numeric,com quantos anos a rainha elizabeth se tornou rainha,27.0 ano
Globex Localization,Entity,Quem canta i got the moves like jagger?,Maroon 5
Globex Localization,Entity,quem escreveu a música For Land of Hope and Glory,Edward Elgar
Globex Localization,Entity,quem canta a música when will I be loved?,Linda Ronstadt
Globex Localization,Entity,quem cantou os céus mais azuis estão em Seattle,Perry Como
Globex Localization,Entity,com quem os colts jogaram no super bowl,New York Jets
Globex Localization,Numeric,quantos episódios tem a segunda temporada de attack on titan,12.0
